13 13 | 2 1 2 3 2 1 1 1 0 | - 3 2 - - 3 - - 4 | 8 o x - ? | 4 12
13 13 | 0 2 4 2 2 1 1 1 0 | - 2 0 - 2 3 - - 4 | 7 o x - - | 4 11
13 13 | 0 3 3 2 2 1 1 1 0 | 4 - 1 2 2 3 - - 4 | 7 x x - - | 7 18
13 13 | 3 0 3 2 2 1 1 1 0 | - 4 1 2 2 3 - - 4 | 8 o x - ? | 7 18
13 13 | 0 1 4 4 1 1 1 1 0 | 4 3 0 0 3 3 - 3 4 | 7 x x - - | 7 22
13 13 | 0 2 3 4 1 1 1 1 0 | 4 2 1 0 - 3 - - 4 | 7 x x - - | 6 16
13 13 | 0 3 2 4 1 1 1 1 0 | 4 1 2 0 3 3 - - 4 | 7 x x - - | 7 19
13 13 | 0 2 4 3 1 1 1 1 0 | - 2 0 1 - 3 - - 4 | 7 o x - - | 5 12
13 13 | 0 3 3 3 1 1 1 1 0 | - 1 1 1 3 3 - 3 4 | 7 o x - - | 8 18
13 13 | 0 4 2 3 1 1 1 1 0 | 4 - 2 1 - 3 - - 4 | 7 x x - - | 6 16
13 13 | 0 3 4 2 1 1 1 1 0 | - 1 0 2 3 3 - - 4 | 7 o x - - | 6 15
13 13 | 3 1 3 2 1 1 1 1 0 | - 3 1 - 3 3 - - 4 | 8 o x - ? | 6 16
13 13 | 1 4 2 2 1 1 1 1 0 | 3 - 2 2 - 3 - - 4 | 8 o x - ? | 6 16
13 13 | 1 3 4 1 1 1 1 1 0 | 3 1 0 - - 3 - - 4 | 8 o x - ? | 5 13
13 13 | 2 2 4 1 1 1 1 1 0 | 2 2 0 - - 3 - - 4 | 8 o x - ? | 5 13
13 13 | 3 1 4 1 1 1 1 1 0 | 1 3 0 3 3 3 - 3 4 | 8 o x - ? | 8 22
13 13 | 2 3 3 1 1 1 1 1 0 | 2 1 1 - 3 3 - 3 4 | 8 o x - ? | 8 19
13 13 | 3 2 3 1 1 1 1 1 0 | 1 2 1 3 - 3 - - 4 | 8 o x - ? | 7 16
13 13 | 2 4 2 1 1 1 1 1 0 | 2 - 2 3 - 3 - - 4 | 8 o x - ? | 6 16
13 13 | 3 3 2 1 1 1 1 1 0 | 1 1 2 3 - 3 - - 4 | 8 o x - ? | 7 16
13 13 | 0 3 3 2 1 1 3 0 0 | 4 1 1 2 3 - 1 - - | 6 x o - - | 7 14
13 13 | 0 3 1 1 2 4 2 0 0 | - 1 - 3 2 0 2 4 - | 6 o x - - | 6 14
13 13 | 0 3 1 1 3 3 2 0 0 | 4 1 3 3 1 1 2 - - | 6 x o - - | 8 17
13 13 | 0 3 1 2 2 3 2 0 0 | - - 3 - 2 1 2 4 - | 6 o x - - | 5 12
13 13 | 0 3 1 3 2 2 2 0 0 | 4 1 3 1 2 - 2 4 - | 6 x x - - | 8 19
